Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,0.2087350082908404,58,0,0.3505322309879517,7811.4875755211,5,0,1,0,1.0
1,0,0.08203604892165485,50,0,0.82844086374133,3738.2617358384705,8,0,1,1,1.0
2,0,0.5798075501600916,61,0,1.069006311970133,,4,0,1,1,0.0
3,0,0.4128124138350848,73,0,1.123513686262291,8361.536150378726,6,1,0,0,1.0
4,0,0.3781486213822387,48,0,0.15666881503736446,,13,0,2,1,1.0
5,0,0.12540839382656777,48,0,1.5235897657771855,12565.104031202847,5,0,1,0,1.0
6,0,0.5850580531715773,74,0,3.3051673327912248,7067.1776122163465,7,0,3,1,0.0
7,0,0.04608822419645305,62,0,2.8761058892959412,5012.3454184485,4,0,2,0,1.0
8,0,0.5448458000828851,45,0,2.4817244323130123,,11,0,1,0,1.0
9,0,0.4832486725493465,59,0,0.3081298751973901,3515.883885905494,13,0,1,0,
10,0,0.1749615504175972,45,2,2.2741819136848473,8664.902740754227,8,0,3,0,1.0
11,0,0.028964331869905695,45,0,0.1637929697241077,,8,0,2,0,2.0
12,1,0.11179227014244505,55,1,0.8027087394123812,10657.989869919316,12,0,3,0,2.0
13,0,0.397548622163481,25,0,0.2574263776181406,4036.7669544990217,6,1,1,1,0.0
14,0,0.3467878068101014,27,1,3.236768593380122,2771.0341446150674,6,0,2,0,0.0
15,1,0.509711581870716,44,1,1.1269955271906908,,7,0,0,0,2.0
16,0,0.4664585437675695,37,0,0.0955920360605397,7879.797227372311,9,0,1,0,
17,0,0.24841405909376651,56,0,0.6624663415272442,4864.654878038002,10,0,0,0,1.0
18,0,0.32489437165894325,39,0,0.17691326317187706,14945.053526253527,10,0,0,1,0.0
19,0,0.28692063489873776,32,0,0.5113112120837148,,12,0,3,0,1.0
20,0,0.09520118805969596,72,0,0.6605630333511369,3278.9727418258026,3,0,1,0,0.0
21,1,0.23853256513270635,48,0,2.1863786799829987,4607.520732722324,12,1,1,1,0.0
22,0,0.11088790990864979,52,1,2.949578686286113,2903.581573262233,3,0,1,0,2.0
23,0,0.14984142846235446,32,0,0.1812874397816349,4935.864258480594,6,0,3,0,0.0
24,0,0.5868860446897234,44,0,0.7014934015466519,6146.576483732341,13,0,1,0,1.0
25,0,0.4491666553138748,53,0,0.6210675365458295,,9,0,0,0,2.0
26,0,0.3992592869697409,35,0,0.21482450983461468,14105.456560610563,13,0,0,0,0.0
27,0,0.23374336479544486,57,0,0.7120086323491654,1973.5106663029337,8,0,1,0,0.0
28,0,0.4578209397457283,43,0,2.8274034202939102,6225.644337165475,4,0,2,0,0.0
29,0,0.04150840061506713,47,0,0.2832041917660479,3124.8452042020745,10,0,0,0,0.0
30,0,0.03570850510246857,43,0,2.7961011777471003,6640.94376740984,13,0,2,0,3.0
31,0,0.254073485142818,77,0,0.19205056378470367,6647.077281166944,8,0,4,0,0.0
32,1,0.2861401065592766,51,0,6.663577460488425,2463.0518063430886,5,0,1,1,1.0
33,0,0.4244798612976038,37,0,0.961138715096388,,8,0,0,1,0.0
34,0,0.039243150899239736,63,0,0.4035906173230542,7031.463514473687,8,0,1,0,0.0
35,0,0.09252098909555283,34,1,2.121587824624057,4995.951470467717,10,0,3,0,0.0
36,0,0.33628648770108593,54,0,10.0,4214.409271432759,7,0,2,0,0.0
37,0,0.7302989009997854,24,0,5.0712680297777135,7789.958261118009,11,0,4,0,0.0
38,0,0.5144354740591253,33,0,0.9280379162655082,8202.571101778361,5,0,0,0,1.0
39,0,0.19016641645094048,54,0,4.709878372626075,,9,0,0,0,0.0
40,0,0.01562984228951978,62,0,10.0,,9,0,2,0,1.0
