iter	Logloss
0	0.6917023076
1	0.6903507562
2	0.6891713386
3	0.6880157229
4	0.6870390504
5	0.6861735349
6	0.6851558226
7	0.6841459624
8	0.6832968259
9	0.6825301984
10	0.6817066428
11	0.6811250929
12	0.6803808563
13	0.6798354999
14	0.6792097203
15	0.6786706211
16	0.6782579538
17	0.6778149208
18	0.6773372892
19	0.6769787894
20	0.6765483934
21	0.6761051764
22	0.6758192477
23	0.6755494527
24	0.6751286265
25	0.6748195708
26	0.6744989822
27	0.6742992431
28	0.6740916519
29	0.6738016744
30	0.6735523073
31	0.6733007318
32	0.6731381064
33	0.6729487346
34	0.6727004103
35	0.6725601145
36	0.6724076724
37	0.672216767
38	0.6720775753
39	0.6719140297
40	0.6717618943
41	0.6715536283
42	0.6713548094
43	0.6712004042
44	0.6710615807
45	0.6708719022
